,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,
201711,3.12,-0.38,-0.09,3.19,-0.1,0.08,-0.94,
201712,1.06,-1.05,0.05,0.73,1.79,0.09,-1.55,
201801,5.58,-3.21,-1.32,-0.75,-1.05,0.11,4.08,
201802,-3.64,0.34,-1.1,0.53,-2.36,0.11,3.68,
201803,-2.35,3.61,-0.21,-0.41,0.08,0.12,-1.2,
201804,0.29,0.89,0.53,-2.42,1.24,0.14,0.45,
201805,2.63,4.71,-3.14,-1.98,-1.49,0.14,3.91,
201806,0.49,0.77,-2.33,0.83,0.2,0.14,-2.26,
201807,3.2,-1.93,0.49,1.53,0.31,0.16,-1.43,
201808,3.46,0.65,-3.91,-0.29,-2.57,0.16,5.3,
201809,0.06,-2.49,-1.62,0.65,1.36,0.15,-0.08,
201810,-7.64,-4.38,3.38,1.03,3.6,0.19,-2.06,
201811,1.71,-0.81,0.36,-0.61,0.4,0.18,-1.4,
201812,-9.55,-2.81,-1.92,-0.03,0.24,0.19,1.76,
201901,8.36,2.91,-0.39,-0.73,-1.65,0.21,-8.62,
201902,3.42,1.72,-2.66,0.16,-1.54,0.18,0.5,
201903,1.1,-3.52,-4.14,0.88,-0.9,0.19,2.24,
201904,3.97,-1.15,2.13,1.61,-2.18,0.21,-2.91,
201905,-6.92,-1.56,-2.45,-0.48,1.76,0.21,7.55,
201906,6.99,0.19,-0.64,0.45,-0.55,0.18,-2.24,
201907,1.22,-1.82,0.5,-0.13,0.37,0.19,2.92,
201908,-2.55,-3.25,-4.77,0.53,-0.62,0.16,7.51,
201909,1.42,0.29,6.76,1.82,3.38,0.18,-6.74,
201910,2.07,0.25,-1.92,0.43,-1.03,0.15,0.13,
201911,3.87,0.39,-2,-1.64,-1.14,0.12,-2.63,
201912,2.76,0.99,1.73,0.05,1.19,0.14,-2.22,
202001,-0.09,-4.37,-6.22,-1.19,-2.19,0.13,6.02,
202002,-8.15,0.08,-3.82,-1.43,-2.53,0.12,-0.28,
202003,-13.35,-8.18,-13.83,-1.61,1.19,0.12,8.21,
202004,13.58,2.57,-1.34,2.76,-1.02,0,-5.48,
202005,5.59,1.92,-5,0.96,-3.16,0.01,0.16,
202006,2.44,1.95,-2.17,0.14,0.55,0.01,-0.83,
202007,5.83,-3.19,-1.44,0.38,0.97,0.01,7.71,
202008,7.62,-0.89,-3.02,4.27,-1.51,0.01,0.46,
202009,-3.64,-0.01,-2.72,-1.38,-1.93,0.01,3.19,
202010,-2.08,4.67,4.25,-0.77,-0.57,0.01,-3.14,
202011,12.44,7.12,2.09,-2.25,1.28,0.01,-12.55,
202012,4.63,4.93,-1.68,-1.97,-0.06,0.01,-2.37,
202101,-0.07,6.81,3.22,-3.65,4.97,0,4.31,
202102,2.81,4.5,7.2,0.33,-1.99,0,-7.96,
202103,3.16,-0.84,7.35,6.35,3.52,0,-6.16,
202104,4.97,-3.16,-1.02,2.43,-2.72,0,1.23,
202105,0.29,1.27,7.04,2.34,3.01,0,0.56,
202106,2.73,-0.3,-7.86,-2.14,-0.93,0,2.07,
202107,1.34,-4.55,-1.79,5.5,-0.59,0,-2.18,
202108,2.95,-0.66,-0.23,-0.26,-1.72,0,2.63,
202109,-4.4,1.12,5.12,-1.92,2,0,1.39,
202110,6.63,-2.7,-0.53,1.71,-1.54,0,3.32,
202111,-1.58,-1.7,-0.37,7.19,1.7,0,0.96,
202112,3.24,-0.78,3.25,4.88,4.29,0.01,-2.39,
202201,-6.15,-4.01,12.86,0.77,7.73,0,-2.42,
202202,-2.28,2.86,3.06,-2.03,3.03,0,1.64,
202203,3.08,-2.11,-1.9,-1.5,3.21,0,2.92,
202204,-9.41,-0.35,6.18,3.41,5.92,0,5,
202205,-0.33,-0.03,8.44,1.55,3.95,0.03,2.53,
202206,-8.4,1.33,-6,1.76,-4.58,0.06,1.09,
202207,9.57,1.78,-4.15,0.77,-6.85,0.08,-4.36,
202208,-3.77,1.48,0.18,-4.74,1.32,0.19,1.98,
202209,-9.34,-0.98,0.03,-1.33,-0.77,0.19,3.71,
202210,7.86,1.81,7.97,3.27,6.43,0.23,3.91,
202211,4.69,-2.75,1.48,6.29,3.15,0.29,-1.72,
202212,-6.38,-0.2,1.34,0.34,4.28,0.33,4.97,
202301,6.6,4.4,-3.94,-2.44,-4.43,0.35,-16.21,
202302,-2.57,0.57,-0.8,0.99,-1.51,0.34,0.54,
202303,2.49,-6.89,-9.05,2.27,-2.1,0.36,-2.35,
202304,0.63,-2.57,-0.12,2.41,2.85,0.35,1.75,
202305,0.33,-0.43,-7.79,-1.78,-7.08,0.36,-0.86,
202306,6.46,1.28,-0.13,2.31,-1.54,0.4,-2.72,
202307,3.21,2.94,4.02,-0.58,0.7,0.45,-3.97,
202308,-2.36,-3.56,-1.29,3.26,-2.3,0.45,3.75,
202309,-5.23,-1.74,1.47,1.87,-0.75,0.43,0.3,
202310,-3.15,-4.02,0.21,2.43,-0.72,0.47,1.69,
202311,8.88,-0.23,1.78,-3.66,-1.15,0.44,2.53,
202312,4.85,7.24,4.94,-2.93,1.21,0.43,-5.55,
202401,0.73,-5.7,-2.36,0.68,-0.94,0.47,5.22,
202402,5.07,-0.81,-3.47,-2.04,-2.24,0.42,4.93,
202403,2.84,-1.19,4.14,1.31,1.18,0.43,-0.31,
202404,-4.65,-2.59,-0.5,1.1,-0.34,0.47,-0.45,
202405,4.32,0.59,-1.35,3.2,-2.97,0.44,-0.22,
202406,2.8,-4.33,-3.31,0.58,-1.8,0.41,0.86,
202407,1.22,8.33,5.6,0.26,0.27,0.45,-2.35,
202408,1.61,-3.57,-1.1,0.75,0.79,0.48,4.86,
202409,1.73,-0.9,-2.77,0.19,-0.25,0.4,-0.56,
202410,-1,-0.86,0.89,-1.49,1.02,0.39,2.94,
202411,6.49,4.65,0.29,-2.27,-1.93,0.4,1.01,
202412,-3.16,-3.82,-2.98,1.88,-1.2,0.37,-0.4,
202501,2.8,-1.22,1.66,-2.35,-3.22,0.37,0.99,
202502,-2.43,-4.88,4.88,1.07,3.09,0.33,-0.85,
202503,-6.39,-1.48,2.94,2.09,-0.46,0.34,-2.7,
202504,-0.84,-1.82,-3.36,-2.83,-2.59,0.35,5.02,
202505,6.06,-0.75,-2.96,1.29,2.48,0.38,2.17,
202506,4.86,-0.05,-1.66,-3.19,1.38,0.34,-2.73,
202507,1.98,-0.14,-1.32,-0.28,-2.01,0.34,-0.95,
202508,1.84,4.82,4.46,-0.72,1.96,0.38,-3.6,
202509,3.39,-2.24,-0.94,-2.21,-2.29,0.33,4.63,
202510,1.96,-1.61,-2.8,-5.77,-4.05,0.37,0.33,
202511,-0.13,1.63,3.57,1.71,0.62,0.3,-1.79,
202512,-0.36,-0.17,2.36,0.44,0.4,0.34,-2.33,
202601,1.03,3.21,3.85,1.75,1.81,0.3,4.99,
202602,-1.18,0.75,2.64,1.87,5.07,0.28,1.26,
202603,-5.18,0.64,3.35,-2.22,-0.09,0.29,1.54,
202604,9.94,0.39,-1.27,-4.32,-3.8,0.29,9.62,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
